t_ms,rx,ry,speed
0.0,-1.0000,-0.1289,0.0000
2.0,-0.9766,-0.1289,0.0234
5.0,-0.9453,-0.1250,0.0313
8.0,-0.9023,-0.1250,0.0430
11.0,-0.8516,-0.1133,0.0507
14.0,-0.8008,-0.0898,0.0508
17.0,-0.7148,-0.0586,0.0860
19.0,-0.6445,-0.0352,0.0703
23.0,-0.5703,-0.0039,0.0742
25.0,-0.4922,0.0195,0.0781
28.0,-0.4023,0.0430,0.0899
31.0,-0.3242,0.0625,0.0781
34.0,-0.2422,0.0781,0.0820
36.0,-0.1562,0.0820,0.0860
39.0,-0.0625,0.0703,0.0937
42.0,0.0156,-0.0039,0.0781
45.0,0.0000,-0.0234,0.0156
47.0,0.0117,-0.0078,0.0117
50.0,0.0117,-0.0039,0.0000
53.0,0.0078,-0.0039,0.0039
55.0,0.0078,-0.0039,0.0000
59.0,0.0078,-0.0039,0.0000
63.0,0.0078,-0.0039,0.0000
66.0,0.0078,-0.0039,0.0000
69.0,0.0078,-0.0039,0.0000
72.0,0.0078,-0.0039,0.0000
76.0,0.0078,-0.0039,0.0000
79.0,0.0078,-0.0039,0.0000
82.0,0.0078,-0.0039,0.0000
86.0,0.0078,-0.0039,0.0000
89.0,0.0078,-0.0039,0.0000
